"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","502","Получение заказов без авторизации","tests","2026-03-07","passed","2026-03-07","TestGetUserOrders","test_get_user_orders","",""
"","478","Создание заказа с неверным хешем ингредиентов","tests","2026-03-07","passed","2026-03-07","TestCreateOrder","test_create_order","",""
"","3437","Создание заказа авторизованным пользователем","tests","2026-03-07","passed","2026-03-07","TestCreateOrder","test_create_order","",""
"","591","Изменение данных пользователя без авторизации","tests","2026-03-07","passed","2026-03-07","TestUpdateUser","test_update_user","",""
"","510","Создание заказа без авторизации","tests","2026-03-07","passed","2026-03-07","TestCreateOrder","test_create_order","",""
"","474","Создание пользователя без обязательного поля","tests","2026-03-07","passed","2026-03-07","TestCreateUser","test_create_user","",""
"","570","Изменение данных пользователя без авторизации","tests","2026-03-07","passed","2026-03-07","TestUpdateUser","test_update_user","",""
"","493","Изменение данных пользователя с авторизацией","tests","2026-03-07","passed","2026-03-07","TestUpdateUser","test_update_user","",""
"","486","Создание заказа с неверным хешем ингредиентов","tests","2026-03-07","passed","2026-03-07","TestCreateOrder","test_create_order","",""
"","477","Создание заказа с неверным хешем ингредиентов","tests","2026-03-07","passed","2026-03-07","TestCreateOrder","test_create_order","",""
"","505","Изменение данных пользователя с авторизацией","tests","2026-03-07","passed","2026-03-07","TestUpdateUser","test_update_user","",""
"","573","Создание уникального пользователя","tests","2026-03-07","passed","2026-03-07","TestCreateUser","test_create_user","",""
"","506","Логин с неверным паролем","tests","2026-03-07","passed","2026-03-07","TestLoginUser","test_login_user","",""
"","502","Изменение данных пользователя без авторизации","tests","2026-03-07","passed","2026-03-07","TestUpdateUser","test_update_user","",""
"","481","Создание заказа без ингредиентов","tests","2026-03-07","passed","2026-03-07","TestCreateOrder","test_create_order","",""
"","488","Создание уже существующего пользователя","tests","2026-03-07","passed","2026-03-07","TestCreateUser","test_create_user","",""
"","585","Изменение данных пользователя с авторизацией","tests","2026-03-07","passed","2026-03-07","TestUpdateUser","test_update_user","",""
"","4447","Получение заказов авторизованного пользователя","tests","2026-03-07","passed","2026-03-07","TestGetUserOrders","test_get_user_orders","",""
"","543","Логин существующего пользователя","tests","2026-03-07","passed","2026-03-07","TestLoginUser","test_login_user","",""
